的,de,притяжательная частица
都,dōu,все
个,gè,счетное слово
记,jì,записывать
两,liǎng,"два, пара, оба"
没,méi,не (отрицание для глагола 有)
那,nà,тот
男,nán,мужской
谁,shéi,кто?
说,shuō,говорить
他,tā,он
她,tā,она
文,wén,письменность
有,yǒu,иметь
张,zhāng,счетное слово для плоских предметов
者,zhě,"тот кто .., суффикс для профессий"
做,zuò,делать
爸爸,bàba,папа
但是,dànshì,"но, а"
弟弟,dìdi,младший брат
儿子,érzi,сын
哥哥,gēge,старший брат
孩子,háizi,"ребенок, дети"
记者,jìzhě,журналист
家庭,jiātíng,семья
姐姐,jiějie,старшая сестра
练习,liànxí,задание
妹妹,mèimei,младшая сестра
哪儿,nǎr,где? куда? откуда?
女儿,nǚér,дочь
学校,xuéxiào,школа
医生,yīshēng,врач
医院,yīyuàn,больница
英文,yīngwén,английский язык
照片,zhàopiàn,фотография
