备,bèi,готовиться
吃,chī,есть
到,dào,"дойти, приходить"
倒,dǎo,перевернуть
等,děng,и т.д.
给,gěi,давать
过,guò,праздновать
吉,jí,удача
聚,jù,собираться вместе
腊,là,конец года
利,lì,"польза, выгода"
弄,nòng,делать
穷,qióng,"бедность, нищета"
全,quán,весь
肉,ròu,мясо
送,sòng,"провожать, выпроваживать"
糖,táng,"сладкое, сахар"
为,wèi,для
些,xiē,счетно-указательное слово
新,xīn,новый
夜,yè,ночь
用,yòng,использовать
拜年,bàinián,"поздравлять с новым годом, делать новогодние визиты"
办法,bànfǎ,"способ, приём, метод, решение"
备菜,bèicài,подготавливать ингредиент
避免,bìmiǎn,избежать
超市,chāoshì,супермаркет
称为,chēngwéi,называться
初一,chūyī,первое число месяца
除夕,chúxī,канун китайского нового года
传统,chuántǒng,"устой, традиция, обычай; традиционный"
春节,chūnjié,китайский новый год
打扫,dǎsǎo,убираться
灯笼,dēnglong,фонарь (из бумаги)
等待,děngdài,ждать
东西,dōngxī,вещи
腐竹,fǔzhú,соевая спаржа
赶走,gǎnzǒu,прогнать
高飞,gāofēi,высоко летать
割肉,gēròu,разделывание мяса
共同,gòngtóng,"совместный, общий"
怪兽,guàishòu,"монстр, чудовище"
过年,guònián,праздновать новый год
海底,hǎidǐ,морское дно
好运,hǎoyùn,"удача, везение"
红包,hóngbāo,красный конверт
互相,hùxiāng,"взаимно, друг друга"
晦气,huìqì,неудача
吉祥,jíxiáng,"счастливый, благоприятный"
健康,jiànkāng,здоровье
饺子,jiǎozǐ,пельмени (цзяоцзы)
节日,jiérì,праздник
进宝,jìnbǎo,получать сокровища
进行,jìnxíng,"проводить, осуществлять"
开始,kāishǐ,начинать
垃圾,lājī,мусор
腊月,làyuè,12 месяц года по лунному календарю
留住,liúzhù,"задержать, оставить"
门上,ménshàng,на двери
年货,niánhuò,новогодние товары
农历,nónglì,лунный календарь
砰啪,pēngpā,хлоп!бам! (звукоподражание)
平安, píng'ān,благополучие
气球,qìqiú,воздушный шар
亲戚,qīnqi,родственник
人类,rénlèi,человечество
赏灯,shǎngdēng,любоваться фонарями
守岁,shǒusuì,бодрствовать всю ночь
送穷,sòngqióng,провожать бедность
汤圆,tāngyuán,шарики из клейкого риса (на юге)
甜蜜,tiánmì,счастье
贴在,tiēzài,"приклеивать, прикреплять"
外出,wàichū,выходить из дома
玩耍,wánshuǎ,развлекаться
晚会,wǎnhuì,вечеринка
文化,wénhuà,культура
舞龙,wǔlóng,танец дракона
舞狮,wǔshī,танец льва
喜庆,xǐqìng,праздничный
闲聊,xiánliáo,болтать
响声,xiǎngshēng,"звук,шум"
谐音,xiéyīn,созвучие
休息,xiūxi,отдыхать
迎接,yíngjiē,"встречать, приветствовать"
又称,yòuchēng,также называется
元宵,yuánxiāo,шарики из клейкого риса (на севере)
圆满,yuánmǎn,благополучие
院子,yuànzi,двор
展翅,zhǎnchì,расправить крылья
招财,zhāocái,привлекать богатство
整个,zhěnggè,целый
之一,zhīyī,"один (одна, одно) из ..."
重要,zhòngyào,"важный, серьёзный"
祝福,zhùfú,поздравлять
准备,zhǔnbèi,готовитьcя
包饺子,bāojiǎozǐ,лепить пельмени
猜灯谜,cāidēngmí,отгадывать загадки на фонарях
赤口日,chìkǒurì,день ссор
挂灯笼,guàdēnglong,вешать фонари
过小年,guòxiǎonián,праздновать малый новый год
聊天儿,liáotiānr,болтать
买年货,mǎiniánhuò,покупать новогодние товары
年夜饭,niányèfàn,праздничный ужин в канун нового года
七宝羹,qībǎogēng,суп из семи сокровищ
什么的,shénmede,и так далее
贴春联,tiēchūnlián,наклеивать чуньлянь
贴花花,tiēhuāhuā,наклеивание праздничных украшений
团圆饭,tuányuánfàn,семейный ужин
洗福禄,xǐfúlù,"омовение на удачу: купание, стирка одежды"
元宵节,yuánxiāojié,праздник фонарей (юаньсяо)
蒸馒头,zhēngmántou,готовка пампушек на пару
装饰品,zhuāngshìpǐn,украшения
做豆腐,zuòdòufu,делать тофу (соевый сыр-творог)
春节习俗,chūnjiéxísú,обычаи чуньцзе (первые дни года)
辞旧迎新,cíjiùyíngxīn,проститься со старым и встретить новое
大年三十,dàniánsānshí,канун китайского нового года
恭喜发财,gōngxǐfācái,желаем богатства!
互相问好,hùxiāngwènhǎo,приветствовать друг друга
新春大吉,xīnchūndàjí,счастья и удачи в новом году
