块,kuài,юань (разг.)
元,yuán,юань (письм.)
币,bì,монета
毛,máo,мао (разг.) = 0.1 юаня
角,jiǎo,цзяо (письм.) = 0.1 юаня
分,fēn,фэнь = 0.01 юаня
买,mǎi,покупать
卖,mài,продавать
香,xiāng,ароматный
瓜,guā,дыня / тыква
草,cǎo,трава
火,huǒ,огонь
龙,lóng,дракон
种,zhǒng,вид / сорт / разновидность
最,zuì,самый / больше всего
新,xīn,новый
鲜,xiān,свежий
再,zài,снова (сделать что-то)
更,gèng,более
斤,jīn,цзинь (0.5 кг)
钱,qián,деньги
共,gòng,общий / совместный
甜,tián,сладкий
尝,cháng,пробовать на вкус
错,cuò,плохо / плохой
给,gěi,давать / предлог дательного падежа (кому? чему?)
找,zhǎo,искать / (о деньгах) давать сдачу
真,zhēn,действительно
红,hóng,красный
辣,là,острый
酸,suān,кислый
苦,kǔ,горький
咸,xián,солёный
贵,guì,дорогой
绿,lǜ,зелёный
瓶,píng,бутылка (счётное слово)
杯,bēi,кружка / чашка (счётное слово)
件,jiàn,счётное слово для одежды
鸡,jī,курица
条,tiáo,счётное слово для длинных и тонких предметов
双,shuāng,счётное слово «пара»
蓝,lán,синий
购物,gòuwù,покупки
人民,rénmín,народ
苹果,píngguǒ,яблоко
水果,shuǐguǒ,фрукты
橙子,chéngzi,апельсин
梨子,lízi,груша
香蕉,xiāngjiāo,банан
西瓜,xīguā,арбуз
葡萄,pútao,виноград
草莓,cǎoméi,клубника
新鲜,xīnxiān,свежий
欢迎,huānyíng,приветствовать / добро пожаловать
更好,gèng hǎo,лучше
别的,biéde,другой / иной
一共,yīgòng,всего / в общем / в целом
不错,bùcuò,правильно / верно / неплохо
袋子,dàizi,пакет
一下,yīxià,раз / разок / немного
便宜,piányi,дешёвый
面包,miànbāo,хлеб
沙拉,shālā,салат
咖啡,kāfēi,кофе
衬衫,chènshān,рубашка
T恤,T- xù,футболка
鸡蛋,jīdàn,яйцо
牛奶,niúnǎi,молоко
颜色,yánsè,цвет
黄色,huángsè,жёлтый
天蓝,tiānlán,голубой
人民币,rénmínbì,китайский юань / народная монета
火龙果,huǒlóngguǒ,питахайя / драгонфрут
多少钱,duōshao qián,сколько стоит?
什么颜色,shénme yánsè,какой цвет?
